question-id,item,grammartical_item,construct,encoding
q421,am passionate about bettering the worlds condition,i am passionate about bettering the worlds condition,not assigned,
q422,am passionate about causes,i am passionate about causes,romanticism,1.0
q423,am patient with people who annoy me,i am patient with people who annoy me,not assigned,
q424,am physically out of shape,i am physically out of shape,not assigned,
q425,am plain in appearance,i am plain in appearance,not assigned,
q426,am polite to strangers,i am polite to strangers,responsibility,1.0
q427,am poorly informed,i am poorly informed,not assigned,
q428,am preoccupied with myself,i am preoccupied with myself,rumination,1.0
q429,am pretty trusting of others motives,i am pretty trusting of others motives,mistrust,-1.0
q430,am prone to addiction,i am prone to addiction,not assigned,
q431,am prone to altered states of consciousness,i am prone to altered states of consciousness,not assigned,
q432,am prone to bouts of rage,i am prone to bouts of rage,not assigned,
q433,am prone to complain about my health,i am prone to complain about my health,health anxiety,1.0
q434,am proud that i am an ordinary person,i am proud that i am an ordinary person,modesty/humility,1.0
q435,am put off by people who touch or hug when speaking to me,i am put off by people who touch or hug when speaking to me,not assigned,
q436,am put off by unexpected events,i am put off by unexpected events,good nature,-1.0
q437,am quick to admit making a mistake,i am quick to admit making a mistake,not assigned,
q438,am quick to blame others when i get into trouble,i am quick to blame others when i get into trouble,not assigned,
q439,am quick to correct others,i am quick to correct others,assertiveness,1.0
q440,am quick to judge others,i am quick to judge others,gentleness,-1.0
q441,am quick to quit when the going gets tough,i am quick to quit when the going gets tough,non-perseverance,1.0
q442,am quick to think i am about to be dumped or rejected,i am quick to think i am about to be dumped or rejected,not assigned,
q443,am quick to think others do not like me,i am quick to think others do not like me,not assigned,
q444,am quick to understand things,i am quick to understand things,intellectual openness,1.0
q445,am quiet around strangers,i am quiet around strangers,extraversion,-1.0
q446,am quite relaxed in front of strangers,i am quite relaxed in front of strangers,not assigned,
q447,am rarely a patient person,i am rarely a patient person,not assigned,
q448,am rarely aware of how an artist might be using light and color to convey mood when i look at paintings or pictures,i am rarely aware of how an artist might be using light and color to convey mood when i look at paintings or pictures,not assigned,
q449,am rarely aware of the natural beauty in the environment,i am rarely aware of the natural beauty in the environment,aesthetic appreciation/artistic interests,-1.0
q450,am rarely aware of the texture of things that i hold,i am rarely aware of the texture of things that i hold,not assigned,
q451,am rarely consulted for advice by others,i am rarely consulted for advice by others,wisdom/perspective,-1.0
q452,am rarely scared by loud noises,i am rarely scared by loud noises,not assigned,
q453,am ready for a fight when someone tries to take advantage of me,i am ready for a fight when someone tries to take advantage of me,not assigned,
q454,am ready to act on the spot,i am ready to act on the spot,not assigned,
q455,am ready to do battle for a cause,i am ready to do battle for a cause,industriousness/perseverance/persistence,1.0
q456,am ready to hit someone when i get angry,i am ready to hit someone when i get angry,hostile aggression,1.0
q457,am relaxed most of the time,i am relaxed most of the time,tranquility,1.0
q458,am resigned to my fate,i am resigned to my fate,"locus of control,chance",1.0
q459,am rigid in the way i want things organized,i am rigid in the way i want things organized,not assigned,
q460,am sad most of the time,i am sad most of the time,depression,1.0
q461,am satisfied with my life,i am satisfied with my life,not assigned,
q462,am secure in my relationships,i am secure in my relationships,relationship insecurity,-1.0
q463,am seldom aware of the sounds of birds in the neighborhood,i am seldom aware of the sounds of birds in the neighborhood,not assigned,
q464,am seldom bothered by the apparent suffering of strangers,i am seldom bothered by the apparent suffering of strangers,sentimentality,-1.0
q465,am seldom concerned about the possibility of failing when trying something new,i am seldom concerned about the possibility of failing when trying something new,not assigned,
q466,am self-destructive,i am self-destructive,not assigned,
q467,am sensitive to the needs of others,i am sensitive to the needs of others,sentimentality,1.0
q468,am skilled in handling social situations,i am skilled in handling social situations,sociability,1.0
q469,am slow to take the blame,i am slow to take the blame,not assigned,
q470,am sluggish much of the time,i am sluggish much of the time,not assigned,
q471,am so good at controlling others that it sometimes scares me,i am so good at controlling others that it sometimes scares me,hypomanic exhibitionism,1.0
q472,am sometimes full of thoughts ideas and images in my mind,i am sometimes full of thoughts ideas and images in my mind,not assigned,
q473,am sometimes so preoccupied with my own thoughts i do not realize others are trying to speak to me,i am sometimes so preoccupied with my own thoughts i do not realize others are trying to speak to me,fantasy proneness,1.0
q474,am sometimes sure that other people can tell what i am thinking,i am sometimes sure that other people can tell what i am thinking,not assigned,
q475,am strongly influenced by the good moods of others,i am strongly influenced by the good moods of others,responsive joy,1.0
q476,am sure of my ground,i am sure of my ground,self-efficacy,1.0
q477,am swayed by my emotions,i am swayed by my emotions,tranquility,-1.0
q478,am taken advantage of by others,i am taken advantage of by others,social/personal/emotional intelligence,-1.0
q479,am thankful for the people who helped me during my childhood,i am thankful for the people who helped me during my childhood,not assigned,
q480,am the first to act,i am the first to act,leadership,1.0
q481,am the last to laugh at a joke,i am the last to laugh at a joke,gregariousness,-1.0
q482,am the life of the party,i am the life of the party,expressiveness,1.0
q483,am the most important person in someone elses life,i am the most important person in someone elses life,capacity for love,1.0
q484,am thrilled when i learn something new,i am thrilled when i learn something new,love of learning,1.0
